0.000    Acceleration: <0.000, 0.000, 0.000>
0.014    Acceleration: <0.000, 0.000, 0.000>
0.031    Acceleration: <0.000, 0.000, 0.000>
0.048    Acceleration: <0.000, 0.000, 0.000>
0.064    Acceleration: <0.000, 0.000, 0.000>
0.081    Acceleration: <0.000, 0.000, 0.000>
0.098    Acceleration: <0.000, 0.000, 0.000>
0.114    Acceleration: <0.000, 0.000, 0.000>
0.131    Acceleration: <0.000, 0.000, 0.000>
0.148    Acceleration: <0.000, 0.000, 0.000>
0.165    Acceleration: <0.000, 0.000, 0.000>
0.181    Acceleration: <0.000, 0.000, 0.000>
0.198    Acceleration: <0.000, 0.000, 0.000>
0.215    Acceleration: <0.000, 0.000, 0.000>
0.231    Acceleration: <0.000, 0.000, 0.000>
0.248    Acceleration: <0.000, 0.000, 0.000>
0.264    Acceleration: <0.000, 0.000, 0.000>
0.281    Acceleration: <0.000, 0.000, 0.000>
0.298    Acceleration: <0.000, 0.000, 0.000>
0.315    Acceleration: <-0.076, -0.118, 0.386>
0.331    Acceleration: <0.144, -0.284, 0.386>
0.348    Acceleration: <0.094, -0.289, 0.251>
0.365    Acceleration: <0.019, -0.300, 0.107>
0.381    Acceleration: <-0.012, -0.277, 0.036>
0.398    Acceleration: <-0.076, -0.235, -0.030>
0.415    Acceleration: <-0.159, -0.135, -0.026>
0.431    Acceleration: <-0.169, -0.158, -0.031>
0.448    Acceleration: <-0.107, -0.182, -0.004>
0.464    Acceleration: <-0.072, -0.266, 0.072>
0.480    Acceleration: <-0.072, -0.215, 0.097>
0.497    Acceleration: <-0.169, -0.256, 0.095>
0.514    Acceleration: <-0.319, -0.280, 0.184>
0.530    Acceleration: <-0.279, -0.336, 0.103>
0.547    Acceleration: <-0.197, -0.391, 0.088>
0.564    Acceleration: <-0.052, -0.379, 0.125>
0.579    Acceleration: <0.151, -0.331, -0.204>
0.595    Acceleration: <0.050, -0.201, -0.147>
0.611    Acceleration: <-0.336, 0.552, -0.290>
0.626    Acceleration: <0.213, -0.033, -0.151>
0.642    Acceleration: <0.205, -0.075, -0.383>
0.659    Acceleration: <0.335, -0.381, -1.067>
0.675    Acceleration: <0.486, -0.183, 0.508>
0.691    Acceleration: <-0.076, 0.381, -0.158>
0.708    Acceleration: <-0.039, 0.535, 0.026>
0.725    Acceleration: <0.292, 0.124, -0.054>
